17:19:43.230423 config: drop-rate=0.00, max-delay=0s, seed=1553980783230253825
17:19:43.230672 router is listening at :3000
17:20:55.485508 [queue=0] packet #1, 127.0.0.1:33477 -> 127.0.0.1:8007, sz=11 is delivered
17:20:55.485757 [queue=0] packet #1, 127.0.0.1:8007 -> 127.0.0.1:33477, sz=11 is delivered
17:21:00.970642 [queue=0] packet #1, 127.0.0.1:39451 -> 127.0.0.1:8007, sz=11 is delivered
17:21:00.970872 [queue=0] packet #1, 127.0.0.1:8007 -> 127.0.0.1:39451, sz=11 is delivered
17:21:02.299810 [queue=0] packet #1, 127.0.0.1:55325 -> 127.0.0.1:8007, sz=11 is delivered
17:21:02.300065 [queue=0] packet #1, 127.0.0.1:8007 -> 127.0.0.1:55325, sz=11 is delivered
17:21:03.663155 [queue=0] packet #1, 127.0.0.1:39925 -> 127.0.0.1:8007, sz=11 is delivered
17:21:03.663364 [queue=0] packet #1, 127.0.0.1:8007 -> 127.0.0.1:39925, sz=11 is delivered
17:21:05.023560 [queue=0] packet #1, 127.0.0.1:40974 -> 127.0.0.1:8007, sz=11 is delivered
17:21:05.023805 [queue=0] packet #1, 127.0.0.1:8007 -> 127.0.0.1:40974, sz=11 is delivered
17:21:05.915846 [queue=0] packet #1, 127.0.0.1:51105 -> 127.0.0.1:8007, sz=11 is delivered
17:21:05.916043 [queue=0] packet #1, 127.0.0.1:8007 -> 127.0.0.1:51105, sz=11 is delivered
17:21:07.051626 [queue=0] packet #1, 127.0.0.1:56636 -> 127.0.0.1:8007, sz=11 is delivered
17:21:07.051873 [queue=0] packet #1, 127.0.0.1:8007 -> 127.0.0.1:56636, sz=11 is delivered
17:21:08.009322 [queue=0] packet #1, 127.0.0.1:49553 -> 127.0.0.1:8007, sz=11 is delivered
17:21:08.009561 [queue=0] packet #1, 127.0.0.1:8007 -> 127.0.0.1:49553, sz=11 is delivered
17:21:08.981335 [queue=0] packet #1, 127.0.0.1:60336 -> 127.0.0.1:8007, sz=11 is delivered
17:21:08.981494 [queue=0] packet #1, 127.0.0.1:8007 -> 127.0.0.1:60336, sz=11 is delivered
17:21:09.716584 [queue=0] packet #1, 127.0.0.1:36728 -> 127.0.0.1:8007, sz=11 is delivered
17:21:09.716819 [queue=0] packet #1, 127.0.0.1:8007 -> 127.0.0.1:36728, sz=11 is delivered
17:21:10.475302 [queue=0] packet #1, 127.0.0.1:39605 -> 127.0.0.1:8007, sz=11 is delivered
17:21:10.475518 [queue=0] packet #1, 127.0.0.1:8007 -> 127.0.0.1:39605, sz=11 is delivered
17:21:11.112434 [queue=0] packet #1, 127.0.0.1:49313 -> 127.0.0.1:8007, sz=11 is delivered
17:21:11.112623 [queue=0] packet #1, 127.0.0.1:8007 -> 127.0.0.1:49313, sz=11 is delivered
17:21:11.804503 [queue=0] packet #1, 127.0.0.1:36379 -> 127.0.0.1:8007, sz=11 is delivered
17:21:11.804726 [queue=0] packet #1, 127.0.0.1:8007 -> 127.0.0.1:36379, sz=11 is delivered
17:21:12.457721 [queue=0] packet #1, 127.0.0.1:38568 -> 127.0.0.1:8007, sz=11 is delivered
17:21:12.457889 [queue=0] packet #1, 127.0.0.1:8007 -> 127.0.0.1:38568, sz=11 is delivered
17:21:13.054102 [queue=0] packet #1, 127.0.0.1:60814 -> 127.0.0.1:8007, sz=11 is delivered
17:21:13.054336 [queue=0] packet #1, 127.0.0.1:8007 -> 127.0.0.1:60814, sz=11 is delivered
17:21:13.632199 [queue=0] packet #1, 127.0.0.1:47425 -> 127.0.0.1:8007, sz=11 is delivered
17:21:13.632423 [queue=0] packet #1, 127.0.0.1:8007 -> 127.0.0.1:47425, sz=11 is delivered
17:21:14.131105 [queue=0] packet #1, 127.0.0.1:54955 -> 127.0.0.1:8007, sz=11 is delivered
17:21:14.131368 [queue=0] packet #1, 127.0.0.1:8007 -> 127.0.0.1:54955, sz=11 is delivered
17:21:14.644845 [queue=0] packet #1, 127.0.0.1:45427 -> 127.0.0.1:8007, sz=11 is delivered
17:21:14.645080 [queue=0] packet #1, 127.0.0.1:8007 -> 127.0.0.1:45427, sz=11 is delivered
17:21:16.127819 [queue=0] packet #1, 127.0.0.1:59855 -> 127.0.0.1:8007, sz=11 is delivered
17:21:16.128021 [queue=0] packet #1, 127.0.0.1:8007 -> 127.0.0.1:59855, sz=11 is delivered
17:21:17.187150 [queue=0] packet #1, 127.0.0.1:53991 -> 127.0.0.1:8007, sz=11 is delivered
17:21:17.187382 [queue=0] packet #1, 127.0.0.1:8007 -> 127.0.0.1:53991, sz=11 is delivered
17:21:17.894426 [queue=0] packet #1, 127.0.0.1:34279 -> 127.0.0.1:8007, sz=11 is delivered
17:21:17.894640 [queue=0] packet #1, 127.0.0.1:8007 -> 127.0.0.1:34279, sz=11 is delivered
17:21:18.599116 [queue=0] packet #1, 127.0.0.1:54092 -> 127.0.0.1:8007, sz=11 is delivered
17:21:18.599308 [queue=0] packet #1, 127.0.0.1:8007 -> 127.0.0.1:54092, sz=11 is delivered
17:21:19.191204 [queue=0] packet #1, 127.0.0.1:51802 -> 127.0.0.1:8007, sz=11 is delivered
17:21:19.191422 [queue=0] packet #1, 127.0.0.1:8007 -> 127.0.0.1:51802, sz=11 is delivered
17:21:19.829059 [queue=0] packet #1, 127.0.0.1:44616 -> 127.0.0.1:8007, sz=11 is delivered
17:21:19.829285 [queue=0] packet #1, 127.0.0.1:8007 -> 127.0.0.1:44616, sz=11 is delivered
17:21:20.442005 [queue=0] packet #1, 127.0.0.1:35637 -> 127.0.0.1:8007, sz=11 is delivered
17:21:20.442240 [queue=0] packet #1, 127.0.0.1:8007 -> 127.0.0.1:35637, sz=11 is delivered
17:21:20.969238 [queue=0] packet #1, 127.0.0.1:34559 -> 127.0.0.1:8007, sz=11 is delivered
17:21:20.969504 [queue=0] packet #1, 127.0.0.1:8007 -> 127.0.0.1:34559, sz=11 is delivered
17:21:21.537073 [queue=0] packet #1, 127.0.0.1:51184 -> 127.0.0.1:8007, sz=11 is delivered
17:21:21.537301 [queue=0] packet #1, 127.0.0.1:8007 -> 127.0.0.1:51184, sz=11 is delivered
17:21:22.030877 [queue=0] packet #1, 127.0.0.1:46737 -> 127.0.0.1:8007, sz=11 is delivered
17:21:22.031074 [queue=0] packet #1, 127.0.0.1:8007 -> 127.0.0.1:46737, sz=11 is delivered
17:21:22.512917 [queue=0] packet #1, 127.0.0.1:60370 -> 127.0.0.1:8007, sz=11 is delivered
17:21:22.513161 [queue=0] packet #1, 127.0.0.1:8007 -> 127.0.0.1:60370, sz=11 is delivered
17:21:23.117735 [queue=0] packet #1, 127.0.0.1:36021 -> 127.0.0.1:8007, sz=11 is delivered
17:21:23.117974 [queue=0] packet #1, 127.0.0.1:8007 -> 127.0.0.1:36021, sz=11 is delivered
17:21:25.682454 [queue=0] packet #1, 127.0.0.1:59818 -> 127.0.0.1:8007, sz=11 is delivered
17:21:25.682686 [queue=0] packet #1, 127.0.0.1:8007 -> 127.0.0.1:59818, sz=11 is delivered
17:21:26.401045 [queue=0] packet #1, 127.0.0.1:33065 -> 127.0.0.1:8007, sz=11 is delivered
17:21:26.401220 [queue=0] packet #1, 127.0.0.1:8007 -> 127.0.0.1:33065, sz=11 is delivered
17:21:27.177007 [queue=0] packet #1, 127.0.0.1:59686 -> 127.0.0.1:8007, sz=11 is delivered
17:21:27.177173 [queue=0] packet #1, 127.0.0.1:8007 -> 127.0.0.1:59686, sz=11 is delivered
17:21:28.091006 [queue=0] packet #1, 127.0.0.1:39011 -> 127.0.0.1:8007, sz=11 is delivered
17:21:28.091206 [queue=0] packet #1, 127.0.0.1:8007 -> 127.0.0.1:39011, sz=11 is delivered
